Wallet,Referral YUZU,Creation YUZU,Completion YUZU,Total YUZU,
0xf7135916ec48b56f8aabb41bab260ec9dbadb3a4,0,0,641,641,
0xca9e5b8f30a6cb5ee2ae14661ec5dbfa5fb60d2b,0,0,641,641,
0x778a423dd2007c22902831de4ce3570533178abc,0,0,641,641,
0xdae50543b86ffc4f9812f4f617e29a9cbad48565,0,0,641,641,
0x6b5f203533c9576af2fcaf0930de99f85d339add,0,0,641,641,
0x341ca1824fd0de893dbbb991417989ba3911cf22,0,0,616,616,
0xd1e0a20840e1b5e29c9d28e661a8552cc6e0389b,0,0,616,616,
0x1f5e72a1c177ea3b27d828fca2d3e8dbbda3f70a,0,0,616,616,
0xef4465d86592d1f2ccd76cee66fb32648124feca,0,0,616,616,
0x6babc0ad6d98e44bfb0b0063a5fe945125a6dacd,0,0,616,616,
0xe4349a88ae8534d1bfd24354c4a203672d379f93,0,0,616,616,
0x9f130453e6fd166f9851bfed3a6cfa59c5aa15d9,0,0,616,616,
0x9c85788e61e35b4e0db725105bcf81f91c5f0644,0,0,616,616,
0x3e4fabe729d6bc2b7d77a4c676b4e14604244f9b,0,0,616,616,
0x7e7728b49bf2100a4c415ce1185d701306950826,0,0,616,616,
0xa5a3fe2ddd8bb1a1517c6ce12d42b965a5962f0d,0,0,616,616,
0x60f1a78530dff4b370c543e4fcd9689db94ca109,0,0,616,616,
0x1cfcb3462a4e3a08db743727d7bd8b113c8d5562,0,0,616,616,
0x4ce5a50373936f47200f83c905a540cf444136bd,0,0,616,616,
0xd432e2350b256c2ead0021232a9af16b11cb6ab7,0,0,616,616,
0xa06e3d77837cefc2c1d0fcbbf0eb32163446b682,0,0,616,616,
0x0cc66319d129f887bd1d3fe58e10400ed1025a79,0,0,590,590,
0x133593a6af688d53efd75cbeb2cc13aac762f20c,0,0,590,590,
0x36f79dfd1613c6fe762b609502d837f5fb816daf,0,0,590,590,
0x8c6c9ac7771bb879b46c91306cff3ffb2daf1b32,0,0,590,590,
0xca85d6dbcac8295b75d227af316fcdfb856c5101,0,0,590,590,
0x3d5d65b330961228c62c26d476b00afca4e9f271,0,0,590,590,
0xccec556fc38f1e08d2f03b6f89967dfb6c934144,0,0,590,590,
0xdd6477c387708ece5a43a643fc8d76488c55c6d7,0,0,590,590,
0x6d9a898fd1914401c1b99953955890d10bf3dd9f,0,0,590,590,
0x9dc2af7c895c6d9ae857793f173e2e3fad6f4288,0,0,590,590,
0x34481049899de8ebc4d18399ce4b41c61ef82cbd,0,0,590,590,
0x8d9f0fad681ebeeec925c0a7181020f9bcdf3748,0,0,590,590,
0x8742a7b04e94f4880aefea673728c7263ef4513d,0,0,564,564,
0xc66c0c197638e97bd22c996030072c80c95fded8,0,0,564,564,
0x4db491c5b483eeca467b97cd03c7f8315458d70e,0,0,564,564,
0x04642867cd2b6e50b50f82b13f48b61a9c6701c5,0,0,564,564,
0x1230418aa13dc58f7cad95672641f8c09997cc24,0,0,564,564,
0xd5f5b1db1b590f1fca31039e5b046a7ff4ea5070,0,0,564,564,
0x488f3ca142569b1ce139bd67a2b8b23a34aeffba,0,0,564,564,
0x958cbac751ef76c12b26f52162b89663f6b155da,0,0,564,564,
0xbad941fb6c539643043854ce8e6320682a99f5e3,0,0,564,564,
0x64fed342b7afb2e666152173fad1401861d96eb4,0,0,564,564,
0x6edc4c125b1ffd647963fe41ece217e6640ba1af,0,0,564,564,
0xcb9a0fc921a359945fe7daa74f075a8f1deb6640,0,0,564,564,
0x92120d975471555dd8294c3057dae3d6b5c814e7,0,0,564,564,
0x09018ffd282a148fc7735f54bfe3f5cfe9db4229,0,0,536,536,
0x97162d2d6aea9e53eba837d39162ef0e8136fd2f,0,0,536,536,
0x622655f50d84837c7f64e9129f11584dba00dd8f,0,0,536,536,
0x236e7c596caeb2f356f88ad17f94915ced6b1e4b,0,0,536,536,
0xfa9ed80f405059b776ea714acfcfce40f15f276e,0,0,536,536,
0x30284178ca609c68964f1e5cb8575b1927eb9065,0,0,536,536,
0xd19b10c3ce98601ba303d34e45dcdbce4aed9565,0,0,536,536,
0xa727fa77ae8fa4594d667164dc6d9ca82b4f5f44,0,0,536,536,
0x25446c5287b8ce6369ff1179404a602b99c33e1d,0,0,536,536,
0x83fd460f9face34a8c8c0d84f5c97d75dd263729,0,0,536,536,
0x71aba2c6ed09412d732feac0c96c848cc0eeb208,0,0,536,536,
0xf1da07f674272f8c659b4affad60687e187895ba,0,0,536,536,
0xa380dc9a98ad3f36b95cbbb8ff1485c539a98860,0,0,536,536,
0x77bd8a37f5fc53b9d678b4b66d0862027b118e97,0,0,536,536,
0xb6fa6996889fb21ec602b1c6e294c5c9b0f04100,0,0,536,536,
0x3ed71751670ff36693c742caa88398a254cf2dc6,0,0,508,508,
0x08ae80b444bdc32dbfb7bfbf48eb6705a02a4abf,0,0,508,508,
0x8d65d8333ffb65112d976a1132ee24372b21a08b,0,0,508,508,
0x5f39fbc0add3569c898d8e587090a887a3b08dff,0,0,508,508,
0x63afa4802b5c21e914bec8c96a042919adb3b7be,0,0,508,508,
0x4b0dd26475a73a54d3727325f56334fcc558645b,0,0,508,508,
0x9d877809d5ff793c878834b2f6f64838242d242c,0,0,508,508,
0xc0ef9b518654d4645628305f88e69f7b5bf422db,0,0,508,508,
0x4ddaab34bb72b82bc0b7a124e2a435918053db4e,0,0,508,508,
0x10139638fcb90e2edc67a78a4f90cba16a855e97,0,0,508,508,
0x129b8515ff2f09866c46372f3231a0d39758614e,0,0,508,508,
0xe4b3e80e4871da03f0282fc3fdbeb91772bd5bee,0,0,508,508,
0xaa48a9ce044294905b27afc7e3e617966b5e3e23,0,0,508,508,
0xe34c55ad234841ca162e36181e8f5ddecf2ed29f,0,0,508,508,
